Perusahaan,Tahun,LCS,STDDEVROA,ROA,MTB,LEV,AGE,PM
LION,2012,3,0.03649543,0.129894747,0.145487801,0.14225623,40,0.25566969
LION,2011,3,0.010586148,0.196941878,0.090407065,0.174282502,39,0.195724112
LMPI,2016,3,0.003226053,-0.037314264,0.333559983,0.496310665,44,0.016829986
LMPI,2015,3,0.010608463,0.00855545,0.143693644,0.494117867,43,0.008765413
LMPI,2014,3,0.009901525,0.005003252,0.442187371,0.506571129,42,0.003330931
LMPI,2013,4,0.011837776,0.002114732,0.545597084,0.516631883,41,-0.017808333
LMPI,2012,1,0.002560601,-0.014644326,0.628075088,0.497688664,40,0.00391247
LMSH,2016,2,0.019377664,0.080459408,0.482796665,0.279507534,34,0.039611108
LMSH,2015,3,0.043584811,0.038401309,0.490922482,0.159522612,33,0.011136626
LMSH,2014,3,0.142917882,0.014534336,0.053401771,0.171277461,32,0.029722791
LMSH,2013,2,0.21723651,0.052911295,0.069522336,0.220395438,31,0.056136983
LMSH,2012,5,0.221014508,0.101504184,0.103357906,0.241330778,30,0.185057775
LMSH,2011,5,0.274494025,0.321145459,0.083912152,0.416413116,29,0.195724112
LPIN,2016,1,0.057311637,0.716023462,1.676276109,0.892024102,34,-0.45177338
LPIN,2015,2,0.050670262,-0.134014915,1.194837726,0.640521543,33,-0.233624054
LPIN,2014,5,0.059427094,-0.056082046,0.953565026,0.249551982,32,-0.058878499
LPIN,2013,4,0.026423953,-0.022256159,0.714948846,0.269769266,31,0.110771352
LPIN,2012,5,0.013372287,0.043561082,1.623032177,0.217179248,30,0.241499216
LPIN,2011,3,0.011929438,0.096360142,0.38185242,0.248556504,29,0.179792686
MAIN,2016,3,0.054371717,0.011958594,1.583812539,0.531202594,19,0.055320562
MAIN,2015,1,0.074579182,0.074042835,2.204653342,0.541000996,18,-0.013004615
MAIN,2014,1,0.098390852,-0.015672933,3.530716799,0.693934055,17,-0.018844914
